time,F7,AF7,AF8,F8,MARKER
414,-0.023121131393673357,-263.7065888940929,-13067.903778033016,-11806.864020403762,
416,-0.02346061884657471,-120.63534096043853,-12221.085756416996,-11448.706496389921,
418,-0.023752209405232108,38.04746790576665,-10728.777502445078,-10175.009200849378,
420,-0.023943773695845577,228.37256662958038,-8850.733751869697,-8301.412385066824,
422,-0.024014665703990374,452.97322502970485,-6993.018956598831,-6368.111973651496,
424,-0.023983561506949306,700.0739378877606,-5552.107308588474,-4932.341333035371,
426,-0.023901304350275016,947.9373878217978,-4764.548386343707,-4356.949474528318,
428,-0.023831532619371293,1173.0813281049639,-4619.261802359039,-4675.332699688173,
430,-0.02382651053292599,1359.1502893618722,-4865.009129566596,-5583.006884223023,
432,-0.023907381378747185,1503.0816090882356,-5109.007628308188,-6557.426579901181,
434,-0.02405634429772136,1616.2332494761456,-4968.059760402043,-7058.9778808584015,
436,-0.024223686100261953,1720.051560404377,-4214.102855345305,-6735.872050566902,
438,-0.02434693137084836,1837.9257173393632,-2858.9460247663833,-5555.174601658383,
440,-0.024374771034059724,1986.318046177921,-1146.783287551369,-3811.227259097997,
442,-0.024286640880722413,2168.5299650392553,541.4734401116086,-2009.8633045179083,
444,-0.02410051689770789,2373.460708578919,1834.5403979836774,-673.9538448637085,
446,-0.023866012873714933,2579.821809735085,2511.5198131766283,-145.0649658018835,
448,-0.02364547410480374,2764.2033551489926,2583.669261229307,-456.49134808751376,
450,-0.023490318079165257,2909.931663744844,2286.907249751288,-1324.8567447853404,
452,-0.023421648027539405,3013.3631318630214,1989.1026276274158,-2261.8694415494565,
454,-0.02342249531450381,3085.2354738965696,2048.5191380445476,-2762.2299810117875,
456,-0.023444584368508874,3146.5734639003504,2677.8507623713017,-2495.407344319658,
458,-0.023426972202234376,3220.7093701808026,3865.415174253058,-1428.523300423753,
460,-0.02331940913544262,3324.4466787080146,5382.647523119692,165.28719650050317,
462,-0.023101508253161603,3461.7142524476067,6873.847152732594,1814.61146574648,
464,-0.022790453744472163,3622.1083006447634,7992.9393240620775,3031.1201865088483,
466,-0.02243437898351104,3784.863730660577,8534.649235567427,3494.7670462527644,
468,-0.022094013632556305,3926.739456244438,8510.352349280574,3172.575078165433,
470,-0.021819647524339705,4030.823626739448,8140.588140744802,2326.9405379805794,
472,-0.021632200062627498,4092.92330518433,7768.280378571795,1411.903605428314,
474,-0.021515570332649073,4123.125594179695,7726.766089043387,898.3276028697338,
476,-0.021423108917212306,4141.951228641915,8213.403551003405,1095.278949736768,
478,-0.021295663441213725,4172.570395035425,9216.667431773609,2035.3505731851676,
480,-0.02108426345292361,4232.037538522534,10523.6194469606,3466.431655749948,
482,-0.020768789445287348,4324.865465583858,11803.719727287771,4951.448144607486,
484,-0.020365553635282387,4441.364425936187,12736.013692140694,6036.655320711893,
486,-0.01992098308499217,4561.361267482479,13130.75400094565,6423.680727327126,
488,-0.019493899365158027,4661.875398054165,12999.37209697956,6080.082279200479,
490,-0.01913320845792216,4725.83468557492,12547.029561121455,5247.486873602588,
492,-0.018859513235484536,4748.529562963097,12091.771890147507,4345.816596475668,
494,-0.01865761033871307,4739.369880899335,11942.11295797951,3811.5053396302765,
496,-0.01848264600385176,4718.294621736834,12280.164953962947,3932.023728622643,
498,-0.018277492729138565,4708.210496016829,13094.583688552777,4739.443910718066,
500,-0.017994660705427597,4726.333876574364,14187.98738485942,6002.4100870174625,
502,-0.017614383357101544,4777.715905759261,15254.842368417247,7317.970827915793,
504,-0.017152033078382492,4853.393135299755,15999.123153995628,8266.8776114807,
506,-0.01665213062596483,4933.847036707034,16246.451690404994,8572.5064327534,
508,-0.016171328025286424,4996.444281431654,16008.252703862554,8203.168400636368,
510,-0.015756916922596134,5024.028168377564,15474.37074059137,7380.011514961496,
512,-0.015429063024900554,5011.406497067864,14938.135739820033,6489.099921440994,
514,-0.015173485679549193,4967.2894523667655,14683.436219227131,5932.56907102198,
516,-0.014947278131500227,4910.962074223122,14877.283599721737,5976.236524922703,
518,-0.014695548854400846,4864.970893450979,15508.534357980214,6651.413386628755,
520,-0.014372472289631729,4846.607208702413,16395.229615333457,7747.1480920102995,
522,-0.013958716199639433,4861.413429996607,17256.58872129779,8894.268339634835,
524,-0.013468658005389088,4901.1602157789475,17821.227701667063,9707.808293893422,
526,-0.012944738414351564,4947.040537779561,17929.921192408714,9932.891167152622,
528,-0.012441209841449195,4976.850134740571,17594.025430683985,9538.80079218563,
530,-0.012003545298102264,4973.421235093047,16988.187603993105,8726.573279380846,
532,-0.011651365347324744,4931.114445779989,16381.278078926658,7848.79659125727,
534,-0.011371333169004202,4857.922519828262,16032.849262828138,7273.558333182734,
536,-0.01112262288974333,4772.410558660057,16095.011574908154,7245.037539060604,
538,-0.010852767471587777,4696.673701388171,16556.838416707316,7793.540848477219,
540,-0.010517771804591172,4647.993967333086,17251.600738070283,8728.09362507668,
542,-0.010098815462202345,4632.357086023561,17922.925024893793,9712.838769444043,
544,-0.009609238434116435,4642.271482933606,18323.690675620663,10396.761130761084,
546,-0.00908925376783149,4659.692761812354,18309.554309638374,10546.658013515533,
548,-0.008590515483236864,4662.9224850637465,17891.7443732603,10133.00674320878,
550,-0.008156499857090289,4634.853026733923,17229.887849619932,9337.171442100334,
552,-0.007806187182179056,4569.43477531404,16568.741578998546,8478.761577056137,
554,-0.007527201943628574,4473.930261297553,16143.8992162423,7892.181871837028,
556,-0.007280915996671104,4366.125398248234,16092.822738504183,7800.056698610495,
